Kharif crop,Sow date,Area,drip,drip_eff,Monthly list,Total_list
Millet,01-06-2020,67,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 17.856772346135823, 46.122158738433306, 30.452173713414943, 42.07693716914803, 26.512636156424737, 0.0, 0.0]",163.02067812355685
Maize-sweet,01-06-2020,39,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 11.879132136448561, 29.470231638582057, 18.531614532519136, 28.985260966118055, 0.0, 0.0, 0.0]",88.86623927366782
Lentil,01-06-2020,31,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 8.852237890141957, 19.296032099867215, 14.089811718147212, 25.343523049862196, 12.35835852986044, 10.129069797140474, 0.0]",90.0690330850195
Soybean,01-06-2020,35,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 20.882718866811167, 55.382022897112336, 26.04089018709568, 28.944368048980824, 0.0, 0.0, 0.0]",131.25
Maize-grain,01-06-202,58,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 13.249801229115704, 37.93796141668809, 22.418941736754903, 49.57222837025831, 24.71671705972088, 0.0, 0.0]",147.89564981253787
