Rabi crop,Sow date,Area,drip,drip_eff,Monthly list,Total_list
Sorghum,01-11-2020,21,0,0.0,"[21.07068332683029, 13.52430718273577, 17.031198358925867, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.632906996191987, 14.308569424103926]",72.56766528878784
Onion-dry,01-11-2020,387,0,0.3,"[370.65247488560556, 313.25698668478276, 410.43316484752125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 158.06250046344206, 307.37419676648614]",1559.7793236478378
Wheat,01-08-2020,32,0,0.4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 20.75809776837341, 67.9636633256629, 54.45534305476142, 24.82289585120226, 0.0]",168.0
Pea,01-11-2020,46,0,0.4,"[47.30531711289633, 39.952540484779064, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 17.034263615836238, 35.42267989861287]",139.71480111212452
Cabbage,01-11-2020,21,0,0.68,"[20.112924993792547, 18.23920326479044, 23.58165926620505, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.861627927095159, 14.139237241570152]",82.93465269345336
Maize-sweet,01-11-2020,45,0,0.0,"[47.20380355686005, 37.22286380569477, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 15.683720976217506, 34.65262163994738]",134.7630099787197
Maize-grain,01-11-2020,38,0,0.0,"[32.42548949332074, 36.14753662908581, 33.18900193021451, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.933023284937756, 25.3299442571157]",137.02499559467452
