Annual crop,Sow date,Area,drip,drip_eff,Monthly list,Total_list
Sugarcane,01-11-2020,55,0,0,"[122.1744007228538, 84.62253951161821, 127.64427488264134, 105.40322255032434, 181.64709367414235, 58.42653929234704, 83.64592626917498, 42.27071515640819, 76.03287150535911, 62.280707482582564, 41.28308144324056, 142.06862750930756]",1127.5
Citrus,01-11-2020,40,0,0,"[23.71592062760119, 21.506543532179204, 32.5208750419759, 28.84849328659984, 49.71617409407891, 15.991139414449986, 22.893597406622117, 11.569346865340817, 20.809930950033475, 17.046011765324742, 18.297674472253757, 23.27645556734103]",286.19216302380096
Pomegranate,01-11-2020,80,0,0,"[138.64692059213004, 235.95750618162324, 401.2625195773303, 409.23648333705216, 720.1742933056573, 231.643076660747, 331.63011100449756, 167.59025316365128, 301.44671404762784, 246.9236561434185, 152.02753532946835, 126.64972128557848]",3463.1887906287816
