Rabi crop,Sow date,Area,drip,drip_eff,Monthly list,Total_list
Wheat,01-11-2020,135,0.0,0.0,"[183.15083541945944, 147.026794340289, 84.43202119912533, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 85.15331125984977, 154.40008560022662]",654.1630478189502
Onion-dry,01-11-2020,360,0.1,0.3,"[432.55449478195817, 413.51091428319603, 412.52860135513384, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 250.29912703652812, 398.03456805864835]",1906.9277055154644
Tomato,01-08-2020,180,0.9,0.42,"[105.66476023736004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 41.737749809337785, 89.55115884340967, 128.16420504086642, 147.66100253132248, 149.4266496782281]",662.2055261405246
Carrot,01-11-2020,45,0.2,0.4,"[51.28223391744865, 52.602919752858966, 51.7849730021302, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 23.739711017897513, 37.60800735935369]",217.01784504968904
Millet,01-11-2020,45,0.0,0.0,"[58.39591853953781, 46.77241274978772, 40.652454651430716, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 24.083764800765593, 45.30457823682874]",215.2091289783506
Maize-grain,01-11-2020,27,0.0,0.0,"[29.797330867682046, 37.57351410918497, 26.267739928616763, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 12.385936183250873, 25.828817017778217]",131.8533381065129
Cabbage,01-11-2020,63,0.2,0.68,"[67.4249892897238, 69.16140405767196, 68.08598189497467, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 31.2125591817922, 52.595803324653794]",288.4807377488164
