Kharif crop,Sow date,Area,drip,drip_eff,Monthly list,Total_list
Groundnut,01-06-2020,3,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.7919892841254088, 2.5368119067937984, 2.393081691634748, 3.2726239808999327, 2.6567579037842024, 0.0, 0.0]",12.65126476723809
Tomato,01-06-2020,6,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 3.5839785682508176, 4.746293244969042, 4.497550515936661, 7.773186047576431, 8.472241794556073, 5.504860525889278, 0.0]",34.5781106971783
Millet,01-06-2020,15,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 9.291796288057675, 14.238879734907128, 13.669026077846718, 14.27900480478714, 12.334947410426654, 0.0, 0.0]",63.81365431602532
Maize-sweet,01-06-2020,75,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 53.095978788901, 78.15017325767991, 71.45172722510785, 84.49115269104817, 0.0, 0.0, 0.0]",287.1890319627369
Lentil,01-06-202,5,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 3.3184986743063125, 4.29166745522105, 4.556342025948907, 6.1960178640102, 4.142256946760315, 2.8671148572339984, 0.0]",25.37189782348078
Cabbage,01-06-2020,11,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 7.300697083473888, 10.021770909204749, 9.568318254492704, 12.887717157141216, 12.524715832125526, 0.0, 0.0]",52.30321923643808
Cotton,01-06-2020,1,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.5973297613751363, 0.8456039689312662, 0.7495917526561102, 1.2955310079294051, 1.3242979105652437, 0.8601344571701997, 0.8968339242284105]",6.569322782855772
Soybean,01-06-2020,135,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 86.61281539939475, 133.05987614344247, 123.02123470062047, 162.22301316681254, 102.47494771739066, 0.0, 0.0]",607.3918871276609
