Annual crop,Sow date,Area,drip,drip_eff,Monthly list,Total_list
Grapes,01-11-2020,2.4,0,0,"[4.23144931524815, 2.131379724290538, 2.4349777965574906, 2.4769809668237643, 3.058772869524553, 2.325603870953864, 1.9753308714234377, 1.4514020417204514, 1.9737133268628855, 2.2164951654428204, 2.009274091949586, 4.362200207446987]",30.64758024824453
Pomegranate,01-11-2020,4.0,0,0,"[8.965837997989642, 17.3513496145766, 22.348426351966012, 28.078106165022824, 35.406343489702024, 26.91966124597281, 22.865131319901437, 16.800475688407964, 22.846407687659433, 25.656690613687445, 13.34011200773835, 9.087917098847893]",249.66645928147247
