Rabi crop,Sow date,Area,drip,drip_eff,Monthly list,Total_list
Tomato,01-11-2020,6,0,0.42,"[6.4047136462718885, 8.394132475801777, 9.495660209730381, 6.7862492241747, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0964840458127187, 5.0338420263143036]",39.21108162810577
Onion-dry,01-11-2020,35,0,0.3,"[43.354545582384134, 41.66652714437839, 41.34736840615602, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 25.08725500079749, 39.89464456487025]",191.35034069858628
Wheat,01-08-2020,17,0,0.4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.8366410504956985, 18.449112585383098, 24.733150961419597, 16.96185149539634, 9.147706027129786]",77.12846211982452
Pea,01-11-2020,19,0,0.4,"[25.270648228204674, 24.269991723513836, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 12.34770798515442, 20.997485877580004]",82.88583381445294
Cabbage,01-11-2020,23,0,0.68,"[28.49012995413814, 29.379463665306222, 28.769429445627893, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 13.188728343276395, 22.224123244911766]",122.05187465326041
