Structure name,Area,Storage capacity,Number
Earthen nala bund,0.6,1.2,1
Earthen nala bund,0.6,1.2,1
Earthen nala bund,0.3,0.6,1
Earthen nala bund,0.4,0.8,1
Earthen nala bund,1,2,1
Earthen nala bund,0.4,0.8,1
Earthen nala bund,0.4,0.8,1
