Kharif crop,Sow date,Area,Monthly list,Total_list
Millet,01-06-2020,5.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 3.0972654293525586, 4.746293244969044, 4.556342025948907, 4.759668268262381, 4.111649136808886, 0.0, 0.0]",21.271218105341777
Maize-grain,01-06-2020,7.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 3.7167185152230706, 6.313842968020119, 5.4248529693116, 9.068717055505836, 6.199101775496472, 0.0, 0.0]",30.7232332835571
Pea,01-06-2020,5.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 3.760965164213821, 5.210011550511995, 4.669916533927104, 5.914380688373373, 0.0, 0.0, 0.0]",19.555273937026293
Lentil,01-06-2020,5.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 3.3184986743063125, 4.29166745522105, 4.556342025948907, 6.1960178640102, 4.142256946760315, 2.8671148572339984, 0.0]",25.37189782348078
Soybean,01-06-2020,209.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 134.08946976647042, 205.9964008442924, 190.45509668466428, 251.14525742121347, 158.6464005402567, 0.0, 0.0]",940.3326252568972
Groundnut,01-06-2020,10.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 5.973297613751362, 8.456039689312663, 7.976938972115827, 10.908746602999775, 8.855859679280675, 0.0, 0.0]",42.1708825574603
Tomato,01-06-2020,0.8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.47786380910010906, 0.6328390993292058, 0.5996734021248883, 1.0364248063435242, 1.1296322392741431, 0.7339814034519037, 0.0]",4.610414759623774
Rice,01-06-2020,1.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.4601394166947779, 1.2420376575915157, 0.9526896963347712, 1.1716106506492014, 1.2651228113258108, 0.0, 0.0]",6.091600232596076
