Summer crop,Sow date,Area,drip,drip_eff,Monthly list,Total_list
Groundnut,01-11-2020,5,0,0,"[5.679759427843609, 6.00667088395236, 4.86439628307718, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.5804033715105987, 4.484169621142051]",23.6153995875258
Maize-grain,01-11-2020,5,0,0,"[5.518024234755934, 6.995110396501481, 4.86439628307718, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.293691885787199, 4.783114262551522]",24.454337062673318
