Rabi crop,Sow date,Area,drip,drip_eff,Monthly list,Total_list
Wheat,01-11-2020,54,0,0.4,"[73.26033416778378, 59.123889612169044, 33.77280847965013, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 34.06132450393991, 61.76003424009065]",261.97839100363353
Pea,01-11-2020,27,0,0.4,"[35.910921166396115, 34.48893560709861, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 17.546742926272074, 29.838532562876843]",117.78513226264363
Maize-grain,01-08-2020,3,0,0.4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.026179083850076, 2.703716886113542, 3.5505059543659856, 3.9566185029829177, 2.5111349878395486]",13.74815541515207
Onion-dry,01-11-2020,34,0,0.3,"[42.115844280030295, 40.47605494025329, 40.166015023122995, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 24.370476286488987, 38.75479757730253]",185.8831881071981
Sorghum,01-11-2020,3,0,0.4,"[3.8930612359691867, 2.841492049262093, 2.7101636434287144, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6629266171957195, 2.9335148360245418]",14.041158381880255
